Restaurant,Address,Status,Timings,Contact,Dish Name,Price
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,South Indian Andhra Meals,₹600
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Butta Bhojanam [Serves 4],₹280
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Full Meal [Serves 2],₹70
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Plain White Rice Pack,₹20
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Sweet Paan [1 Piece],₹250
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,South Indian Curries,₹250
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Curry Combo,₹70
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Fry Combo,₹60
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pappu Kothimeera,₹50
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Sambar,₹60
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Majjiga Pulusu,₹70
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Curd,₹120
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Cabbage 65,₹120
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Rice and Biryani,₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,"Pulihora [500 ml, 1 Box]",₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,"Ava Pulihora [500 ml, 1 Box]",₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Vadiyalu and Appadalu,₹102
